clip,frame,ball_real_x,ball_real_y,is_real_bounce,bounce_in
Dataset_Clutch/Clip115,669,2.209491509377008,11.448134315880871,1,1.0
Dataset_Clutch/Clip115,707,5.203531641703355,15.92887463317936,1,1.0
Dataset_Clutch/Clip115,715,5.658930567638678,13.86814004184762,1,1.0
Dataset_Clutch/Clip115,747,6.427148518566089,15.737109615260426,1,1.0
Dataset_Clutch/Clip116,482,7.457468906303991,23.979430417712077,1,1.0
Dataset_Clutch/Clip117,141,8.017930990303775,5.239894152876119,1,1.0
Dataset_Clutch/Clip119,112,3.0942122927510574,4.902340588592046,1,1.0
Dataset_Clutch/Clip119,144,3.2722915667205736,21.390055723947384,1,1.0
Dataset_Clutch/Clip119,293,3.3959345917774204,22.546669547287998,1,1.0
Dataset_Clutch/Clip119,335,3.3428597406674063,14.22322907650261,1,1.0
Dataset_Clutch/Clip119,343,2.9752144473843796,11.730453879587108,1,1.0
Dataset_Clutch/Clip120,77,3.1397881594795964,16.49548402452493,1,1.0
Dataset_Clutch/Clip121,325,4.346288156168443,23.752440170423164,1,1.0
Dataset_Clutch/Clip121,354,2.0675526822396866,22.79498904838733,1,1.0
Dataset_Clutch/Clip122,51,2.99502164674542,15.595886611445456,1,1.0
Dataset_Clutch/Clip122,127,7.00694291916273,2.8446354500659066,1,1.0
Dataset_Clutch/Clip122,362,5.825487882431954,2.5091888003133813,1,1.0
Dataset_Clutch/Clip123,79,8.407401095991881,17.57528686301186,1,1.0
Dataset_Clutch/Clip124,112,2.3861948239913624,1.067116980365186,1,1.0
Dataset_Clutch/Clip125,157,5.588422418416474,20.263689416902363,1,1.0
Dataset_Clutch/Clip125,203,1.9774966869704822,1.4745855840576612,1,1.0
Dataset_Clutch/Clip125,266,5.588422418416474,20.263689416902363,1,1.0
Dataset_Clutch/Clip125,287,5.157461753008709,19.208640319442242,1,1.0
Dataset_Clutch/Clip125,320,7.986461934099417,0.4311535089570904,1,1.0
Dataset_Clutch/Clip125,374,-0.2511749345746738,14.765751450632001,1,1.0
Dataset_Clutch/Clip125,384,-0.2343868683675855,14.596737144449014,1,1.0
Dataset_Clutch/Clip125,395,5.270169128546047,23.99533487552883,1,1.0
Dataset_Clutch/Clip127,186,0.18699219929968366,0.8677920453105971,1,1.0
Dataset_Clutch/Clip127,211,3.8777557428781173,19.428313632036293,1,1.0
Dataset_Clutch/Clip127,305,6.094100788172836,1.4081085109247262,1,1.0
Dataset_Clutch/Clip127,428,5.915810340353013,4.069711996552633,1,1.0
Dataset_Clutch/Clip127,523,2.084854374631244,11.741232038314621,1,1.0
Dataset_Clutch/Clip128,31,2.7345298483149185,11.154281037034378,1,1.0
Dataset_Clutch/Clip129,118,3.6430594246989703,15.945171741460726,1,1.0
Dataset_Clutch/Clip129,177,2.702849859911567,2.5582683009493765,1,1.0
Dataset_Clutch/Clip129,219,6.523491510313224,21.820308186895776,1,1.0
Dataset_Clutch/Clip129,240,5.099463392481014,18.595711818311347,1,1.0
Dataset_Clutch/Clip129,253,5.844423393555152,23.741399705928565,1,1.0
Dataset_Clutch/Clip129,301,2.937298513274265,1.622544572497044,1,1.0
Dataset_Clutch/Clip129,591,6.207483047371245,18.9926813259888,1,1.0
Dataset_Clutch/Clip130,18,6.124764372172262,16.28156622044861,1,1.0
Dataset_Clutch/Clip130,73,2.2952339271261635,16.874879309590682,1,1.0
Dataset_Clutch/Clip131,90,3.8146746306082155,7.988345141150702,1,1.0
Dataset_Clutch/Clip131,107,-0.15748855515376287,24.034800866222916,1,1.0
Dataset_Clutch/Clip131,160,3.3933774097916944,2.3736377483707436,1,1.0
Dataset_Clutch/Clip131,205,6.306428212752097,23.245456009439376,1,1.0
Dataset_Clutch/Clip131,275,7.2633237481335335,0.215856790492458,1,1.0
Dataset_Clutch/Clip132,182,2.184864274222087,4.126061363334459,1,1.0
Dataset_Clutch/Clip132,461,7.391059833489791,6.542848248320174,1,1.0
Dataset_Clutch/Clip132,490,3.469733610460082,16.67680944679259,1,1.0
Dataset_Clutch/Clip133,56,7.8522942015761314,20.90279132008861,1,1.0
