00:56:19 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip38 | 450 frames | 1920x1080
00:56:42 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip38 | 12 tracks -> 2 seleccionados por movimiento
00:56:42 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip38 acumulado (900 filas) | presion punto: (0, 0).
00:56:42 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip39 | 200 frames | 1920x1080
00:56:53 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip39 | 9 tracks -> 2 seleccionados por movimiento
00:56:53 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip39 acumulado (400 filas) | presion punto: (0, 0).
00:56:53 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip40 | 200 frames | 1920x1080
00:57:03 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip40 | 11 tracks -> 2 seleccionados por movimiento
00:57:03 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip40 acumulado (400 filas) | presion punto: (0, 0).
00:57:03 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip41 | 100 frames | 1920x1080
00:57:08 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip41 | 7 tracks -> 1 seleccionados por movimiento
00:57:08 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip41 acumulado (100 filas) | presion punto: (0, 1).
00:57:08 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip42 | 250 frames | 1920x1080
00:57:20 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip42 | 9 tracks -> 2 seleccionados por movimiento
00:57:20 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip42 acumulado (500 filas) | presion punto: (0, 1).
00:57:20 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip43 | 150 frames | 1920x1080
00:57:28 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip43 | 8 tracks -> 1 seleccionados por movimiento
00:57:28 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip43 acumulado (150 filas) | presion punto: (0, 0).
00:57:28 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip44 | 50 frames | 1920x1080
00:57:31 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip44 | 7 tracks -> 2 seleccionados por movimiento
00:57:31 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip44 acumulado (100 filas) | presion punto: (0, 0).
00:57:31 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip45 | 178 frames | 1920x1080
00:57:40 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip45 | 9 tracks -> 2 seleccionados por movimiento
00:57:40 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip45 acumulado (356 filas) | presion punto: (0, 0).
00:57:40 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip46 | 188 frames | 1920x1080
00:57:49 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip46 | 8 tracks -> 2 seleccionados por movimiento
00:57:49 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip46 acumulado (376 filas) | presion punto: (0, 0).
00:57:49 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip47 | 200 frames | 1920x1080
00:57:59 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip47 | 9 tracks -> 2 seleccionados por movimiento
00:57:59 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip47 acumulado (400 filas) | presion punto: (1, 0).
00:57:59 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip48 | 150 frames | 1920x1080
00:58:07 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip48 | 9 tracks -> 2 seleccionados por movimiento
